numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07621;20221007060000;102400;-60;7;170;1.000000;283.150000;282.650000;97;15900;0;mq;mq;mq;0;mq;mq;mq;mq;98040;mq;mq;-630;282.650000;mq;291.550000;mq;283.350000;mq;mq;1.300000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20221007060000;102420;-70;8;mq;mq;284.150000;283.950000;99;1730;10;mq;mq;mq;0;mq;mq;mq;mq;97490;mq;mq;-630;283.350000;mq;289.650000;mq;285.050000;mq;mq;mq;mq;-10;0;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20221007060000;102450;-30;8;0;0.000000;285.050000;284.550000;97;7390;0;mq;mq;mq;5;6780;mq;mq;mq;100640;mq;mq;-530;285.050000;mq;292.150000;mq;285.450000;mq;mq;1.100000;1.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;5;mq;6780;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07643;20221007060000;102550;-10;0;10;3.500000;288.150000;286.550000;90;14980;0;mq;mq;100;8;250;mq;mq;mq;102450;mq;mq;-240;286.550000;mq;292.450000;mq;288.250000;mq;mq;4.600000;4.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20221007060000;102530;-30;6;150;1.500000;287.850000;286.350000;91;19780;0;mq;mq;mq;4;4140;mq;mq;mq;102140;mq;mq;-220;287.250000;mq;292.650000;mq;286.150000;mq;mq;2.100000;2.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;4140;4;mq;7260;mq;mq;mq;mq;mq;mq;
07661;20221007060000;mq;mq;mq;100;3.300000;mq;mq;mq;18000;3;0;mq;10;0;5000;30;20;11;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;4.800000;5.100000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;0;5000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20221007060000;102510;-10;6;340;3.200000;290.850000;285.550000;71;40000;2;0;0;10;1;450;36;20;10;102200;mq;mq;-190;290.650000;mq;292.950000;mq;289.250000;mq;mq;4.600000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;7;300;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20221007060000;102450;-50;7;210;0.800000;288.250000;286.450000;89;42690;0;mq;mq;90;4;450;mq;mq;mq;101920;mq;mq;-360;287.850000;mq;293.250000;mq;288.750000;mq;mq;1.300000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;540;7;mq;5280;mq;mq;mq;mq;mq;mq;
07761;20221007060000;102470;-10;6;40;3.300000;287.350000;285.050000;86;45470;0;mq;mq;mq;0;mq;mq;mq;mq;102360;mq;mq;-220;287.150000;mq;293.250000;mq;286.050000;mq;mq;5.300000;5.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20221007060000;102490;-10;7;220;2.200000;286.250000;283.650000;84;46950;0;mq;mq;mq;0;mq;mq;mq;mq;102340;mq;mq;-190;285.950000;mq;291.950000;mq;281.650000;mq;mq;2.800000;3.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61968;20221007060000;101660;120;1;110;5.200000;300.350000;292.450000;62;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101610;mq;mq;-100;mq;296.950000;mq;302.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61972;20221007060000;101770;160;1;mq;mq;299.950000;294.250000;71;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101700;mq;mq;-120;mq;292.850000;mq;301.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61976;20221007060000;101930;70;0;130;9.800000;298.950000;291.850000;65;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101840;mq;mq;-70;mq;294.850000;mq;300.750000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;2.600000;2.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61980;20221007060000;102200;100;0;100;9.900000;298.950000;287.150000;48;35440;0;mq;mq;mq;1;1250;mq;mq;mq;102050;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;15.400000;16.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;1350;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61996;20221007060000;102770;30;1;220;5.600000;287.250000;278.850000;57;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102420;mq;mq;620;mq;280.850000;mq;289.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
