numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20221025120000;101560;-40;8;190;2.600000;291.050000;285.050000;68;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100710;mq;mq;740;mq;mq;mq;mq;281.150000;mq;mq;6.900000;9.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;1.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20221025120000;101610;-10;8;200;5.500000;290.050000;284.950000;72;32760;0;mq;mq;75;6;800;mq;mq;mq;101050;mq;mq;810;mq;mq;mq;mq;284.450000;mq;mq;7.900000;9.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.800000;mq;mq;mq;mq;3;mq;780;6;mq;990;6;mq;1620;mq;mq;mq;
07020;20221025120000;101170;-120;8;170;7.400000;289.350000;286.850000;85;13000;3;2;mq;75;6;800;38;20;14;101060;mq;mq;530;mq;mq;mq;mq;mq;mq;mq;11.600000;11.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.400000;0.400000;0.400000;mq;mq;mq;mq;6;8;900;6;6;1200;4;0;7000;mq;mq;mq;
07027;20221025120000;101350;-140;8;160;6.400000;291.350000;285.750000;70;20000;0;mq;mq;mq;1;800;mq;mq;mq;100560;mq;mq;510;mq;mq;mq;mq;285.050000;mq;mq;8.700000;8.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;1;mq;660;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20221025120000;101520;-100;8;190;4.600000;290.050000;284.550000;70;47600;0;mq;mq;mq;1;800;mq;mq;mq;99670;mq;mq;610;mq;mq;mq;mq;285.250000;mq;mq;6.800000;9.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.600000;mq;mq;mq;mq;1;mq;690;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20221025120000;101770;-50;8;170;4.900000;290.150000;285.250000;73;20000;0;mq;mq;90;7;800;mq;mq;mq;100650;mq;mq;590;mq;mq;mq;mq;283.650000;mq;mq;7.700000;7.700000;-10;0;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;5;mq;720;7;mq;990;mq;mq;mq;mq;mq;mq;
07110;20221025120000;100820;-250;8;150;6.600000;290.750000;286.050000;74;46780;0;mq;mq;90;7;2250;mq;mq;mq;99670;mq;mq;-50;mq;mq;mq;mq;286.250000;mq;mq;11.100000;11.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.400000;0.400000;1.800000;mq;mq;mq;mq;5;mq;2280;5;mq;3120;7;mq;4140;mq;mq;mq;
07130;20221025120000;101190;-250;8;130;5.000000;290.950000;285.850000;72;47060;0;mq;mq;90;7;2760;mq;mq;mq;100750;mq;mq;160;mq;mq;mq;mq;283.750000;mq;mq;8.500000;8.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.400000;mq;mq;mq;mq;5;mq;2760;7;mq;4020;mq;mq;mq;mq;mq;mq;
07139;20221025120000;101470;-140;8;130;2.900000;289.050000;286.550000;85;19400;0;mq;mq;90;7;450;mq;mq;mq;99760;mq;mq;410;mq;mq;mq;mq;287.250000;mq;mq;4.600000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;2.600000;mq;mq;mq;mq;7;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20221025120000;101670;-80;8;180;3.700000;290.050000;286.150000;78;18880;0;1;1;mq;4;450;mq;mq;mq;100610;mq;mq;520;mq;mq;mq;mq;mq;mq;mq;6.200000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;4;mq;480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
